i_reset = 1, o_cnt = x, o_decade = xx, i_cnt_en = 0, o_en_cnt = x, i_time_val = 30, o_time_cnt = x, o_time_en = x, o_clock_h = x, o_clock_m = x, o_clock_s = x
i_reset = 0, o_cnt =  26, o_decade = 26, i_cnt_en = 0, o_en_cnt =   4, i_time_val = 30, o_time_cnt = 26, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 26
i_reset = 0, o_cnt =  27, o_decade = 27, i_cnt_en = 0, o_en_cnt =   4, i_time_val = 30, o_time_cnt = 27, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 27
i_reset = 0, o_cnt =  28, o_decade = 28, i_cnt_en = 1, o_en_cnt =   4, i_time_val = 30, o_time_cnt = 28, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 28
i_reset = 0, o_cnt =  29, o_decade = 29, i_cnt_en = 0, o_en_cnt =   5, i_time_val = 30, o_time_cnt = 29, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 29
i_reset = 0, o_cnt =  30, o_decade = 30, i_cnt_en = 0, o_en_cnt =   5, i_time_val = 30, o_time_cnt = 30, o_time_en = 1, o_clock_h = 0, o_clock_m =  0, o_clock_s = 30
i_reset = 0, o_cnt =  31, o_decade = 31, i_cnt_en = 0, o_en_cnt =   5, i_time_val = 30, o_time_cnt =  0, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 31
i_reset = 0, o_cnt =  32, o_decade = 32, i_cnt_en = 0, o_en_cnt =   5, i_time_val = 30, o_time_cnt =  1, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 32
i_reset = 0, o_cnt =  33, o_decade = 33, i_cnt_en = 0, o_en_cnt =   5, i_time_val = 30, o_time_cnt =  2, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 33
i_reset = 0, o_cnt =  34, o_decade = 34, i_cnt_en = 1, o_en_cnt =   5, i_time_val = 30, o_time_cnt =  3, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 34
i_reset = 0, o_cnt =  35, o_decade = 35, i_cnt_en = 0, o_en_cnt =   6, i_time_val = 30, o_time_cnt =  4, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 35
