areset = 1, o_cnt = x, o_decade = xx, cnt_en = 0, o_en_cnt = x, time_val = 30, o_time_cnt = x, o_time_en = x, o_clk_h = x, o_clk_m = x, o_clk_s = x
areset = 0, o_cnt =  60, o_decade = 60, cnt_en = 0, o_en_cnt =  10, time_val = 30, o_time_cnt = 29, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s =  0
areset = 0, o_cnt =  61, o_decade = 61, cnt_en = 0, o_en_cnt =  10, time_val = 30, o_time_cnt = 30, o_time_en = 1, o_clk_h = 0, o_clk_m =  1, o_clk_s =  1
areset = 0, o_cnt =  62, o_decade = 62, cnt_en = 0, o_en_cnt =  10, time_val = 30, o_time_cnt =  0, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s =  2
areset = 0, o_cnt =  63, o_decade = 63, cnt_en = 0, o_en_cnt =  10, time_val = 30, o_time_cnt =  1, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s =  3
areset = 0, o_cnt =  64, o_decade = 64, cnt_en = 1, o_en_cnt =  10, time_val = 30, o_time_cnt =  2, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s =  4
areset = 0, o_cnt =  65, o_decade = 65, cnt_en = 0, o_en_cnt =  11, time_val = 30, o_time_cnt =  3, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s =  5
areset = 0, o_cnt =  66, o_decade = 66, cnt_en = 0, o_en_cnt =  11, time_val = 30, o_time_cnt =  4, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s =  6
areset = 0, o_cnt =  67, o_decade = 67, cnt_en = 0, o_en_cnt =  11, time_val = 30, o_time_cnt =  5, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s =  7
areset = 0, o_cnt =  68, o_decade = 68, cnt_en = 0, o_en_cnt =  11, time_val = 30, o_time_cnt =  6, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s =  8
areset = 0, o_cnt =  69, o_decade = 69, cnt_en = 0, o_en_cnt =  11, time_val = 30, o_time_cnt =  7, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s =  9
areset = 0, o_cnt =  70, o_decade = 70, cnt_en = 1, o_en_cnt =  11, time_val = 30, o_time_cnt =  8, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 10
areset = 0, o_cnt =  71, o_decade = 71, cnt_en = 0, o_en_cnt =  12, time_val = 30, o_time_cnt =  9, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 11
areset = 0, o_cnt =  72, o_decade = 72, cnt_en = 0, o_en_cnt =  12, time_val = 30, o_time_cnt = 10, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 12
areset = 0, o_cnt =  73, o_decade = 73, cnt_en = 0, o_en_cnt =  12, time_val = 30, o_time_cnt = 11, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 13
areset = 0, o_cnt =  74, o_decade = 74, cnt_en = 0, o_en_cnt =  12, time_val = 30, o_time_cnt = 12, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 14
areset = 0, o_cnt =  75, o_decade = 75, cnt_en = 0, o_en_cnt =  12, time_val = 30, o_time_cnt = 13, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 15
areset = 0, o_cnt =  76, o_decade = 76, cnt_en = 1, o_en_cnt =  12, time_val = 30, o_time_cnt = 14, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 16
areset = 0, o_cnt =  77, o_decade = 77, cnt_en = 0, o_en_cnt =  13, time_val = 30, o_time_cnt = 15, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 17
areset = 0, o_cnt =  78, o_decade = 78, cnt_en = 0, o_en_cnt =  13, time_val = 30, o_time_cnt = 16, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 18
areset = 0, o_cnt =  79, o_decade = 79, cnt_en = 0, o_en_cnt =  13, time_val = 30, o_time_cnt = 17, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 19
areset = 0, o_cnt =  80, o_decade = 80, cnt_en = 0, o_en_cnt =  13, time_val = 30, o_time_cnt = 18, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 20
areset = 0, o_cnt =  81, o_decade = 81, cnt_en = 0, o_en_cnt =  13, time_val = 30, o_time_cnt = 19, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 21
areset = 0, o_cnt =  82, o_decade = 82, cnt_en = 1, o_en_cnt =  13, time_val = 30, o_time_cnt = 20, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 22
areset = 0, o_cnt =  83, o_decade = 83, cnt_en = 0, o_en_cnt =  14, time_val = 30, o_time_cnt = 21, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 23
areset = 0, o_cnt =  84, o_decade = 84, cnt_en = 0, o_en_cnt =  14, time_val = 30, o_time_cnt = 22, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 24
